scenario_id,subject,difficulty,mode,target_obj_id,plausible_targets,object_summary,current_target_source,layout_override,notes
manual_s1_hard_trial_20260220_122841,s1,hard,manual,obj_4,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s1_hard_trial_20260220_123039,s1,hard,manual,obj_1,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s1_hard_trial_20260220_123213,s1,hard,manual,obj_3,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s1_hard_trial_20260220_123705,s1,hard,manual,obj_5,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s2_easy_trial_20260219_121852,s2,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s2_easy_trial_20260219_122028,s2,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s2_easy_trial_20260219_122439,s2,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s2_easy_trial_20260219_122603,s2,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s2_easy_trial_20260219_122937,s2,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s2_easy_trial_20260219_123040,s2,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s2_hard_trial_20260219_125246,s2,hard,manual,obj_2,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s2_hard_trial_20260219_125411,s2,hard,manual,obj_4,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s2_hard_trial_20260219_125626,s2,hard,manual,obj_3,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s2_hard_trial_20260219_130125,s2,hard,manual,obj_1,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s2_hard_trial_20260219_130434,s2,hard,manual,obj_5,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s3_easy_trial_20260219_143057,s3,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s3_easy_trial_20260219_143508,s3,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s3_easy_trial_20260219_143710,s3,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s3_easy_trial_20260219_143854,s3,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s3_easy_trial_20260219_144217,s3,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s3_hard_trial_20260219_145957,s3,hard,manual,obj_1,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s3_hard_trial_20260219_150133,s3,hard,manual,obj_5,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s3_hard_trial_20260219_150245,s3,hard,manual,obj_3,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s3_hard_trial_20260219_150357,s3,hard,manual,obj_6,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s3_hard_trial_20260219_150553,s3,hard,manual,obj_2,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s3_hard_trial_20260219_150708,s3,hard,manual,obj_4,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s3_hard_trial_20260219_150941,s3,hard,manual,obj_1,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
assistive_s3_hard_trial_20260219_152407,s3,hard,assistive,obj_4,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_easy_trial_20260219_155504,s4,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_easy_trial_20260219_155938,s4,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_easy_trial_20260219_160056,s4,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_easy_trial_20260219_160457,s4,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_easy_trial_20260219_160604,s4,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_easy_trial_20260219_160810,s4,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_hard_trial_20260219_162301,s4,hard,manual,obj_1,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_hard_trial_20260219_162410,s4,hard,manual,obj_3,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_hard_trial_20260219_162527,s4,hard,manual,obj_5,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_hard_trial_20260219_162635,s4,hard,manual,obj_6,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_hard_trial_20260219_162733,s4,hard,manual,obj_2,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_hard_trial_20260219_162827,s4,hard,manual,obj_4,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_hard_trial_20260219_162921,s4,hard,manual,obj_1,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s4_hard_trial_20260219_163025,s4,hard,manual,obj_3,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
assistive_s4_hard_trial_20260219_163432,s4,hard,assistive,obj_4,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=gelatin_box@B1(E)|obj_5=rubik@B2(E)|obj_6=meat_can@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s5_easy_trial_20260219_192430,s5,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s5_easy_trial_20260219_192533,s5,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s5_easy_trial_20260219_192639,s5,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s5_easy_trial_20260219_192726,s5,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s5_easy_trial_20260219_193158,s5,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s5_easy_trial_20260219_193309,s5,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s5_hard_trial_20260219_200509,s5,hard,manual,obj_2,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s5_hard_trial_20260219_200618,s5,hard,manual,obj_5,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s5_hard_trial_20260219_200719,s5,hard,manual,obj_4,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s5_hard_trial_20260219_201911,s5,hard,manual,obj_3,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s5_hard_trial_20260219_202445,s5,hard,manual,obj_1,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s5_hard_trial_20260219_202544,s5,hard,manual,obj_2,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_easy_trial_20260220_105743,s6,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_easy_trial_20260220_105847,s6,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_easy_trial_20260220_110216,s6,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_easy_trial_20260220_110319,s6,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_easy_trial_20260220_110422,s6,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_easy_trial_20260220_110530,s6,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_easy_trial_20260220_110700,s6,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_easy_trial_20260220_110832,s6,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_hard_trial_20260220_112942,s6,hard,manual,obj_5,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_hard_trial_20260220_113141,s6,hard,manual,obj_2,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_hard_trial_20260220_113302,s6,hard,manual,obj_3,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_hard_trial_20260220_113527,s6,hard,manual,obj_1,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_hard_trial_20260220_113843,s6,hard,manual,obj_4,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s6_hard_trial_20260220_114335,s6,hard,manual,obj_5,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_easy_trial_20260220_142137,s7,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_easy_trial_20260220_142240,s7,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_easy_trial_20260220_142343,s7,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_easy_trial_20260220_142526,s7,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_easy_trial_20260220_142701,s7,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_easy_trial_20260220_142837,s7,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_easy_trial_20260220_142953,s7,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_easy_trial_20260220_143114,s7,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_easy_trial_20260220_143226,s7,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_easy_trial_20260220_143354,s7,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
assistive_s7_easy_trial_20260220_143714,s7,easy,assistive,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_hard_trial_20260220_150556,s7,hard,manual,obj_4,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=cleanser@B1(E)|obj_5=rubik@B2(E)|obj_6=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_hard_trial_20260220_150713,s7,hard,manual,obj_1,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=cleanser@B1(E)|obj_5=rubik@B2(E)|obj_6=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_hard_trial_20260220_150840,s7,hard,manual,obj_3,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=cleanser@B1(E)|obj_5=rubik@B2(E)|obj_6=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_hard_trial_20260220_150958,s7,hard,manual,obj_6,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=cleanser@B1(E)|obj_5=rubik@B2(E)|obj_6=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s7_hard_trial_20260220_151109,s7,hard,manual,obj_5,obj_1|obj_2|obj_3|obj_4|obj_5|obj_6,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=cleanser@B1(E)|obj_5=rubik@B2(E)|obj_6=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
